rainfall_24h,rainfall_7d,temperature,humidity,wind_speed,elevation,river_proximity,flood_history_freq,soil_saturation_idx,population_density,twi,scs_runoff_mm,scs_runoff_ratio,fhi,hand_m,soil_saturation_theta,cn_effective,amc_class,imd_24h_class,rational_Q_m3s,risk_level
16.872,110.537,27.06,61.46,12.618,870.0,1.321,0.8018,0.205693,38908.0,7.272727,10.1553,0.60192,0.535477,0.0,0.205693,97.02743230131428,AMC-III,light,0.7752,2
110.854,700.0,31.73,80.35,14.108,942.06,6.919,0.2937,0.767376,54139.0,6.29809,107.6594,0.971181,0.688263,9.6975,0.767376,98.94175341994321,AMC-III,very_heavy,1.9731,3
11.73,55.962,25.18,74.23,32.123,920.48,5.699,0.1195,0.110048,44113.0,6.389327,0.5849,0.049865,0.328251,8.1246,0.110048,88.0,AMC-II,light,0.0132,1
15.879,131.179,24.17,38.29,26.764,922.35,3.101,0.076,0.239128,40278.0,7.006343,9.2803,0.584448,0.417171,14.4306,0.239128,97.02743230131428,AMC-III,light,0.3582,1
49.838,303.468,35.42,37.15,3.75,917.37,1.903,0.3415,0.468592,30699.0,7.253707,37.9496,0.761455,0.552946,19.3632,0.468592,95.5270847381434,AMC-III,moderate,2.1955,2
14.951,85.698,34.77,35.79,8.048,931.54,1.441,0.237,0.163507,36947.0,7.780608,8.4726,0.566688,0.42435,30.803,0.163507,97.02743230131428,AMC-III,light,0.6069,1
6.918,73.369,27.68,35.26,6.163,942.81,0.62,0.3787,0.141743,46657.0,9.077234,0.2543,0.036762,0.365077,58.2835,0.141743,92.0,AMC-II,dry,0.0429,1
22.934,122.322,30.94,92.78,4.667,919.24,0.79,0.2523,0.224957,34047.0,8.32919,13.0215,0.567777,0.462799,35.3624,0.224957,95.5270847381434,AMC-III,light,1.4034,2
31.474,201.815,27.75,58.73,19.447,934.65,2.262,0.2757,0.343247,45120.0,7.536886,28.4332,0.90339,0.509988,23.1016,0.343247,98.94175341994321,AMC-III,light,1.431,2
6.03,33.047,23.55,83.61,9.765,906.19,3.533,0.4054,0.06653,21907.0,6.289017,0.0,0.0,0.329958,8.9204,0.06653,55.511379832865735,AMC-I,dry,0.0104,1
7.912,53.94,32.35,95.78,9.994,891.25,2.836,0.5798,0.106291,30017.0,6.781086,0.0,0.0,0.377448,6.3135,0.106291,85.0,AMC-II,light,0.0165,1
1.121,42.916,37.89,80.54,0.278,913.1,2.166,0.5407,0.085528,28486.0,7.035804,0.0,0.0,0.341759,15.9365,0.085528,71.29975254791762,AMC-I,dry,0.0029,1
6.716,42.049,20.14,99.26,8.339,924.6,0.648,0.4399,0.083875,19908.0,7.98032,0.0,0.0,0.350583,42.9461,0.083875,55.511379832865735,AMC-I,dry,0.0407,1
30.616,128.523,29.5,88.83,12.211,921.52,4.051,0.4638,0.234907,37087.0,6.593959,22.9215,0.748681,0.469158,11.2709,0.234907,97.02743230131428,AMC-III,light,0.7001,2
1.549,40.972,21.3,74.91,15.39,927.04,3.844,0.2866,0.081817,34820.0,6.587015,0.0,0.0,0.309455,13.066,0.081817,71.29975254791762,AMC-I,dry,0.0025,1
3.808,36.616,39.4,60.35,19.913,905.73,0.179,0.2478,0.073445,36526.0,9.812943,0.0,0.0,0.421721,35.5949,0.073445,76.27500606733003,AMC-I,dry,0.039,1
50.226,343.578,25.16,66.12,2.471,948.38,1.036,0.2895,0.511193,27311.0,7.790305,38.3222,0.76299,0.52297,48.5249,0.511193,95.5270847381434,AMC-III,moderate,3.468,2
16.908,117.74,16.26,58.66,22.614,887.83,4.792,0.1681,0.217523,55000.0,6.609437,14.0352,0.830069,0.449546,3.359,0.217523,98.94175341994321,AMC-III,light,0.3687,1
19.2,116.604,30.99,53.48,12.734,908.34,2.296,0.0368,0.215669,45305.0,7.525058,16.2854,0.848192,0.469866,13.539,0.215669,98.94175341994321,AMC-III,light,0.8096,2
19.996,97.713,33.19,36.45,19.848,870.0,0.323,0.1715,0.184187,28382.0,8.328731,10.5169,0.525964,0.560027,0.0,0.184187,95.5270847381434,AMC-III,light,1.7773,2
40.871,332.27,20.21,86.87,2.885,918.66,0.933,0.4693,0.499541,47664.0,8.663174,37.7825,0.924431,0.606393,32.0025,0.499541,98.94175341994321,AMC-III,moderate,3.6657,2
15.215,104.109,27.77,45.85,10.284,960.0,4.749,0.2054,0.194985,42282.0,6.147181,8.701,0.571885,0.375298,17.0897,0.194985,97.02743230131428,AMC-III,light,0.2304,1
14.41,57.689,25.96,42.23,0.388,882.4,3.208,0.4054,0.113243,26592.0,6.228309,0.5898,0.04093,0.370141,3.3206,0.113243,85.0,AMC-II,light,0.027,1
33.324,147.88,26.33,57.19,40.796,947.38,0.922,0.2628,0.265146,47501.0,8.67014,30.2719,0.908411,0.499934,51.2223,0.265146,98.94175341994321,AMC-III,light,2.9591,2
14.479,104.86,23.89,91.66,4.433,882.25,2.371,0.1053,0.196243,31713.0,6.717867,6.1023,0.421464,0.415891,4.2154,0.196243,95.5270847381434,AMC-III,light,0.2954,1
7.046,68.86,37.97,92.45,1.378,885.09,11.398,0.2152,0.133642,41077.0,5.223951,0.0004,5.8e-05,0.284649,1.2672,0.133642,88.0,AMC-II,dry,0.0041,1
11.108,86.645,32.19,53.75,3.437,902.95,0.464,0.2706,0.165156,26294.0,8.55332,3.6953,0.33266,0.470243,29.1287,0.165156,95.5270847381434,AMC-III,light,0.5328,2
23.508,107.844,20.36,42.13,8.078,892.01,1.428,0.3454,0.201223,28326.0,7.485746,13.5198,0.575108,0.482017,11.0866,0.201223,95.5270847381434,AMC-III,light,0.9748,2
17.245,87.341,29.32,88.26,29.041,900.42,2.65,0.3103,0.166365,28471.0,6.811676,8.2589,0.47892,0.421719,9.5616,0.166365,95.5270847381434,AMC-III,light,0.3644,1
0.066,36.038,26.84,93.74,2.341,904.26,3.439,0.1423,0.072329,40462.0,6.88943,0.0,0.0,0.315954,8.6432,0.072329,76.27500606733003,AMC-I,dry,0.0001,1
17.506,84.425,32.75,42.75,6.313,870.0,0.136,0.0979,0.161286,36133.0,9.331286,10.7196,0.612342,0.585311,0.0,0.161286,97.02743230131428,AMC-III,light,2.3431,2
1.884,52.96,24.69,82.98,6.165,947.25,0.221,0.5461,0.104464,44085.0,9.979744,0.0,0.0,0.367178,76.4235,0.104464,88.0,AMC-II,dry,0.0182,1
46.08,231.973,32.29,58.6,3.566,895.63,1.677,0.3978,0.383241,37763.0,7.637523,37.8997,0.822477,0.582775,11.5135,0.383241,97.02743230131428,AMC-III,moderate,2.4203,2
11.482,99.584,28.22,88.68,4.507,901.41,1.454,0.073,0.18736,31153.0,7.565571,3.9467,0.343736,0.411951,15.6181,0.18736,95.5270847381434,AMC-III,light,0.2807,1
14.445,46.621,25.16,46.77,11.995,938.54,0.865,0.5935,0.092559,31817.0,8.148319,0.0,0.0,0.372187,46.9684,0.092559,71.29975254791762,AMC-I,light,0.0735,1
70.141,490.813,26.87,99.79,1.25,917.27,3.443,0.3084,0.640315,25496.0,6.427461,57.645,0.821844,0.595395,11.9136,0.640315,95.5270847381434,AMC-III,heavy,2.032,2
7.522,125.887,21.94,64.81,2.675,904.71,0.709,0.3217,0.230693,22297.0,7.985731,0.0773,0.010276,0.393213,26.2441,0.230693,89.49303405572755,AMC-III,light,0.0432,1
15.138,82.497,26.2,38.47,11.247,907.82,3.77,0.6151,0.15791,39213.0,6.742702,8.6348,0.570393,0.440229,8.813,0.15791,97.02743230131428,AMC-III,light,0.2811,1
1.573,14.02,36.07,71.45,3.582,919.09,1.066,0.1994,0.028786,31214.0,7.904026,0.0,0.0,0.331548,29.877,0.028786,71.29975254791762,AMC-I,dry,0.007,1
41.734,298.242,29.5,95.7,4.683,938.28,1.365,0.335,0.462775,32785.0,7.692554,30.2224,0.724164,0.518732,35.4523,0.462775,95.5270847381434,AMC-III,moderate,2.252,2
3.503,38.376,22.13,93.77,3.146,934.35,1.84,0.2725,0.076837,34865.0,7.432689,0.0,0.0,0.329488,26.9816,0.076837,71.29975254791762,AMC-I,dry,0.0104,1
15.966,87.827,21.43,37.28,12.646,885.82,2.297,0.4088,0.16721,35038.0,6.976539,9.3568,0.586044,0.457771,5.5849,0.16721,97.02743230131428,AMC-III,light,0.4651,2
6.786,44.847,25.61,48.29,13.962,919.28,8.148,0.0178,0.0892,35011.0,5.713962,0.0,0.0,0.276815,5.6912,0.0892,76.27500606733003,AMC-I,dry,0.0055,1
5.835,45.124,27.34,50.13,3.693,902.13,0.75,0.2377,0.089724,27190.0,8.11851,0.0,0.0,0.376186,23.6561,0.089724,71.29975254791762,AMC-I,dry,0.0324,1
48.659,329.801,24.33,41.81,21.717,876.66,2.572,0.1571,0.496959,37868.0,6.649065,40.4245,0.830768,0.568197,2.146,0.496959,97.02743230131428,AMC-III,moderate,1.8289,2
4.895,26.346,26.28,58.93,0.479,936.39,1.187,0.2087,0.053408,41400.0,8.157891,0.0,0.0,0.340381,37.7912,0.053408,76.27500606733003,AMC-I,dry,0.0202,1
10.31,61.117,26.58,44.24,3.603,875.94,3.41,0.3396,0.119553,25686.0,5.953163,0.0392,0.003803,0.352619,1.5102,0.119553,85.0,AMC-II,light,0.0183,1
2.95,59.023,44.59,38.87,9.73,884.84,4.701,0.054,0.115705,25126.0,5.83748,0.0,0.0,0.293538,2.8427,0.115705,85.0,AMC-II,dry,0.0039,1
8.639,87.681,44.83,35.34,32.548,960.0,5.806,0.317,0.166957,39665.0,5.835971,3.3747,0.39064,0.342677,14.2397,0.166957,97.02743230131428,AMC-III,light,0.0744,1
19.285,176.694,30.63,56.54,46.945,960.0,1.156,0.1748,0.30796,35905.0,7.58912,12.3209,0.63888,0.407211,52.1174,0.30796,97.02743230131428,AMC-III,light,1.0344,1
49.99,253.989,31.19,81.62,16.402,911.27,0.189,0.0915,0.41089,33502.0,9.637162,38.0949,0.762056,0.612489,41.0558,0.41089,95.5270847381434,AMC-III,moderate,7.6824,2
8.94,145.646,30.11,86.48,60.189,915.67,10.354,0.5575,0.261718,35287.0,5.438594,3.5948,0.402111,0.348922,4.2046,0.261718,97.02743230131428,AMC-III,light,0.046,1
21.834,113.726,36.13,91.92,7.39,925.33,1.623,0.4813,0.210953,45567.0,7.945422,18.8816,0.864771,0.505793,25.4531,0.210953,98.94175341994321,AMC-III,light,1.2363,2
15.808,59.696,26.52,76.56,30.643,938.34,0.494,0.4466,0.116943,51136.0,9.435247,3.8754,0.24516,0.448051,59.332,0.116943,92.0,AMC-II,light,0.5422,1
33.102,171.357,32.08,99.79,6.841,913.61,0.41,0.246,0.300222,34209.0,8.995327,22.1497,0.669125,0.55118,39.7985,0.300222,95.5270847381434,AMC-III,light,3.3827,2
1.384,9.719,27.97,72.17,40.122,910.46,6.252,0.2352,0.020045,15977.0,5.499913,0.0,0.0,0.259782,5.9803,0.020045,55.511379832865735,AMC-I,dry,0.0014,1
5.022,146.666,30.46,89.4,10.183,923.69,8.766,0.2511,0.263286,44944.0,5.884006,1.0677,0.212621,0.32275,5.7888,0.263286,97.02743230131428,AMC-III,dry,0.016,1
38.121,277.562,25.16,90.43,12.443,870.0,0.137,0.209,0.439123,52079.0,9.891583,35.0441,0.919287,0.730661,0.0,0.439123,98.94175341994321,AMC-III,moderate,7.642,3
0.856,7.989,27.77,49.95,4.948,882.98,0.8,0.203,0.016506,44048.0,8.379961,0.0,0.0,0.389,9.2582,0.016506,76.27500606733003,AMC-I,dry,0.0046,1
12.72,101.447,32.74,63.69,16.463,909.37,7.989,0.4108,0.190508,18680.0,5.308118,1.2478,0.098097,0.3146,4.6322,0.190508,89.49303405572755,AMC-III,light,0.0204,1
40.416,271.614,27.33,41.76,18.462,889.94,6.552,0.2835,0.43213,55000.0,6.304988,37.3292,0.923626,0.517814,2.8219,0.43213,98.94175341994321,AMC-III,moderate,0.7358,2
15.809,75.501,28.2,47.86,9.372,912.6,2.761,0.0396,0.145546,38680.0,7.092049,9.2193,0.583165,0.412073,12.9436,0.145546,97.02743230131428,AMC-III,light,0.3929,1
10.424,54.639,28.42,77.47,22.88,929.39,1.797,0.0582,0.107592,33195.0,7.402014,0.046,0.004416,0.341658,25.3409,0.107592,85.0,AMC-II,light,0.0315,1
10.75,41.915,22.19,94.12,13.341,943.05,3.113,0.174,0.08362,35173.0,6.841985,0.0,0.0,0.330079,20.0729,0.08362,76.27500606733003,AMC-I,light,0.0207,1
22.289,120.53,29.55,84.7,18.089,896.77,11.115,0.2785,0.222059,21540.0,5.018118,5.7749,0.259098,0.323316,2.3029,0.222059,89.49303405572755,AMC-III,light,0.0691,1
61.819,295.688,18.45,76.96,1.686,896.11,3.783,0.1495,0.459908,23283.0,6.256028,36.4133,0.589033,0.521773,6.0656,0.459908,89.49303405572755,AMC-III,moderate,1.1816,2
22.563,87.702,33.86,95.59,7.225,915.19,2.782,0.4982,0.166992,18164.0,6.428885,5.9354,0.263059,0.398351,13.6456,0.166992,89.49303405572755,AMC-III,light,0.2514,1
8.901,77.82,27.79,61.76,1.223,905.94,0.807,0.1903,0.149666,52154.0,8.896575,6.3071,0.70861,0.485363,25.5303,0.149666,98.94175341994321,AMC-III,light,0.6707,2
46.263,177.473,26.83,85.84,37.432,958.93,1.235,0.3527,0.309083,36806.0,7.579318,38.0784,0.823091,0.495892,49.3534,0.309083,97.02743230131428,AMC-III,moderate,3.0505,2
28.079,101.686,21.32,76.27,4.138,918.23,4.704,0.1502,0.19091,22821.0,6.002828,9.4165,0.335361,0.373559,9.2374,0.19091,89.49303405572755,AMC-III,light,0.2515,1
30.185,157.167,25.2,56.17,3.234,915.15,3.203,0.574,0.279227,53603.0,7.255592,27.1526,0.899553,0.533953,12.1083,0.279227,98.94175341994321,AMC-III,light,1.0194,2
18.116,91.573,26.42,61.99,11.888,889.83,7.379,0.4277,0.173683,41404.0,5.937669,11.2656,0.621864,0.40224,2.5128,0.173683,97.02743230131428,AMC-III,light,0.1988,1
38.753,324.47,20.5,85.26,28.372,897.49,0.1,0.1086,0.491342,43823.0,10.553092,30.7612,0.793778,0.659303,27.4886,0.491342,97.02743230131428,AMC-III,moderate,7.1263,3
18.736,163.81,31.77,59.93,0.017,870.0,3.948,0.3067,0.289134,22679.0,5.565209,3.8298,0.204406,0.386275,0.0,0.289134,89.49303405572755,AMC-III,light,0.1197,1
1.502,39.032,29.44,97.34,8.69,870.0,5.564,0.3489,0.078098,29827.0,5.367717,0.0,0.0,0.294752,0.0,0.078098,71.29975254791762,AMC-I,dry,0.0017,1
0.306,14.033,26.09,38.69,10.643,875.45,4.235,0.1533,0.028813,34228.0,5.932579,0.0,0.0,0.296828,1.1452,0.028813,71.29975254791762,AMC-I,dry,0.0004,1
13.562,112.743,21.83,73.99,8.971,941.98,0.69,0.4026,0.209335,50657.0,9.071779,10.7709,0.794203,0.465021,55.0715,0.209335,98.94175341994321,AMC-III,light,1.2578,2
5.211,36.746,26.74,66.36,7.377,884.85,10.942,0.425,0.073697,26366.0,4.919982,0.0,0.0,0.270059,1.2968,0.073697,71.29975254791762,AMC-I,dry,0.0032,1
12.342,106.391,25.06,77.38,14.778,923.36,1.545,0.3345,0.198802,43643.0,7.936107,6.265,0.507635,0.441562,25.4283,0.198802,97.02743230131428,AMC-III,light,0.4259,1
19.953,79.343,29.5,79.41,3.767,960.0,2.739,0.7124,0.152359,27572.0,6.362054,10.4814,0.525302,0.407881,27.5257,0.152359,95.5270847381434,AMC-III,light,0.4498,1
6.436,63.291,32.84,80.77,13.775,876.6,0.882,0.0912,0.123534,38330.0,7.871099,0.0,0.0,0.407909,4.4736,0.123534,88.0,AMC-II,dry,0.0324,1
31.548,256.296,34.63,45.27,0.263,907.65,4.61,0.355,0.413715,41298.0,6.565064,23.8129,0.75482,0.488132,7.3422,0.413715,97.02743230131428,AMC-III,light,0.6478,2
4.576,23.128,23.67,46.0,15.687,896.97,2.514,0.0666,0.04704,29593.0,6.906747,0.0,0.0,0.329535,8.8519,0.04704,71.29975254791762,AMC-I,dry,0.0106,1
1.544,16.759,16.55,86.34,0.481,933.17,1.696,0.6475,0.034313,15668.0,6.862695,0.0,0.0,0.31978,28.1431,0.034313,55.511379832865735,AMC-I,dry,0.0049,1
1.838,21.56,23.44,42.97,4.214,906.44,3.755,0.5604,0.043923,29951.0,6.466508,0.0,0.0,0.32787,8.5191,0.043923,71.29975254791762,AMC-I,dry,0.003,1
16.142,66.762,39.74,66.88,24.722,890.64,2.375,0.3903,0.129848,41121.0,7.317319,1.9362,0.11995,0.413018,7.0913,0.129848,88.0,AMC-II,light,0.0936,1
32.526,182.164,25.35,76.08,6.939,897.5,9.754,0.4927,0.315803,47439.0,5.815298,29.4784,0.90631,0.457374,2.6793,0.315803,98.94175341994321,AMC-III,light,0.3996,2
9.477,77.806,36.59,87.89,0.32,876.93,1.797,0.1864,0.149641,24225.0,6.633884,0.3703,0.039068,0.377744,2.9561,0.149641,89.49303405572755,AMC-III,light,0.0287,1
3.134,22.102,28.39,97.64,35.202,944.77,2.289,0.0622,0.045001,44998.0,7.518529,0.0,0.0,0.313922,26.4642,0.045001,76.27500606733003,AMC-I,dry,0.0078,1
41.98,263.692,22.77,46.88,27.145,885.14,4.093,0.3234,0.42268,39814.0,6.424049,33.898,0.807484,0.526512,3.2811,0.42268,97.02743230131428,AMC-III,moderate,1.0258,2
19.774,125.321,38.7,90.16,2.134,881.59,4.908,0.0356,0.229785,25288.0,5.693475,10.3316,0.522486,0.379572,2.1364,0.229785,95.5270847381434,AMC-III,light,0.2655,1
3.578,43.923,25.8,81.97,13.823,949.7,9.923,0.2926,0.087444,17882.0,5.012181,0.0,0.0,0.242377,7.6409,0.087444,55.511379832865735,AMC-I,dry,0.0024,0
13.434,43.066,18.32,46.83,4.698,935.46,0.152,0.23,0.085814,34541.0,9.849082,0.0,0.0,0.388481,65.3743,0.085814,71.29975254791762,AMC-I,light,0.1433,1
15.357,105.991,33.58,71.83,3.803,922.87,2.015,0.1055,0.198134,5352.0,6.338387,2.25,0.146509,0.339987,20.6811,0.198134,89.49303405572755,AMC-III,light,0.1243,1
1.425,19.548,21.18,89.95,8.158,938.53,2.07,0.1555,0.039907,34292.0,7.280414,0.0,0.0,0.304668,26.2587,0.039907,71.29975254791762,AMC-I,dry,0.0039,1
50.95,295.904,27.01,71.74,0.071,900.01,6.099,0.3935,0.460151,29506.0,5.901545,39.0175,0.7658,0.509412,4.5382,0.460151,95.5270847381434,AMC-III,moderate,0.8219,2
41.598,200.917,19.16,99.94,16.58,934.61,2.859,0.688,0.342018,43106.0,7.19213,33.5261,0.805957,0.543407,19.0705,0.342018,97.02743230131428,AMC-III,moderate,1.3875,2
17.717,117.045,27.59,52.48,3.353,931.24,2.36,0.0921,0.216391,48774.0,7.605679,14.8285,0.836941,0.456522,21.15,0.216391,98.94175341994321,AMC-III,light,0.7206,2
3.47,57.192,27.4,78.36,0.998,960.0,5.723,0.4429,0.112325,35905.0,5.754583,0.0,0.0,0.294061,14.4298,0.112325,88.0,AMC-II,dry,0.0039,1
11.814,80.802,30.35,67.06,29.745,893.37,1.06,0.2336,0.154931,17210.0,7.393833,0.9593,0.081199,0.394093,14.2716,0.154931,89.49303405572755,AMC-III,light,0.0855,1
25.879,192.792,29.42,72.58,0.648,951.52,0.884,0.3695,0.330785,49984.0,8.671577,22.8816,0.884192,0.493461,55.2038,0.330785,98.94175341994321,AMC-III,light,2.2975,2
13.885,109.449,29.44,86.35,28.772,918.25,5.544,0.0966,0.203891,41207.0,6.340696,7.558,0.544333,0.379459,7.9633,0.203891,97.02743230131428,AMC-III,light,0.1738,1
17.042,84.272,34.31,62.77,27.555,950.9,2.197,0.1598,0.161019,51807.0,7.620292,14.1656,0.83124,0.438909,29.5792,0.161019,98.94175341994321,AMC-III,light,0.73,1
4.368,34.386,29.22,84.38,9.971,947.75,2.39,0.3241,0.069132,38071.0,7.240344,0.0,0.0,0.32626,26.582,0.069132,76.27500606733003,AMC-I,dry,0.0105,1
6.795,42.592,28.48,67.13,10.654,895.05,1.352,0.3754,0.084911,23020.0,7.355263,0.0,0.0,0.37728,13.0957,0.084911,55.511379832865735,AMC-I,dry,0.0255,1
2.865,13.196,35.39,37.96,27.892,960.0,5.283,0.2648,0.027117,34005.0,5.797851,0.0,0.0,0.273064,15.5214,0.027117,71.29975254791762,AMC-I,dry,0.0034,1
1.319,36.0,27.18,73.02,0.147,934.2,1.211,0.3439,0.072257,17767.0,7.280388,0.0,0.0,0.309179,36.0896,0.072257,55.511379832865735,AMC-I,dry,0.0054,1
2.315,24.497,29.23,73.18,0.382,918.04,2.685,0.0845,0.049755,38081.0,7.105538,0.0,0.0,0.317926,14.9367,0.049755,76.27500606733003,AMC-I,dry,0.0051,1
2.531,36.427,31.51,76.17,13.622,933.14,4.926,0.0623,0.073081,35357.0,6.313986,0.0,0.0,0.284361,11.6008,0.073081,76.27500606733003,AMC-I,dry,0.0032,1
91.826,272.846,28.86,88.76,4.019,870.0,0.938,0.1093,0.433586,18690.0,6.956816,63.728,0.694009,0.661771,0.0,0.433586,89.49303405572755,AMC-III,heavy,6.1592,3
6.345,40.918,32.25,36.04,23.011,922.24,2.208,0.1426,0.081713,35337.0,7.24152,0.0,0.0,0.338358,19.0272,0.081713,76.27500606733003,AMC-I,dry,0.0163,1
30.127,189.485,19.23,70.06,6.689,916.38,0.879,0.2832,0.326159,55000.0,8.799863,27.0958,0.899376,0.556833,31.5162,0.326159,98.94175341994321,AMC-III,light,2.7313,2
31.902,205.213,27.44,95.8,23.817,899.99,1.009,0.364,0.34788,33866.0,8.061532,21.0456,0.659691,0.534262,18.8648,0.34788,95.5270847381434,AMC-III,light,1.939,2
1.156,60.064,30.27,96.93,13.108,914.63,1.797,0.2631,0.11762,40593.0,7.655254,0.0,0.0,0.347509,19.0465,0.11762,88.0,AMC-II,dry,0.0035,1
23.37,169.517,25.63,39.11,19.043,896.32,2.917,0.17,0.297536,15752.0,6.30226,6.415,0.274498,0.399329,7.6403,0.297536,89.49303405572755,AMC-III,light,0.261,1
5.395,78.096,26.87,82.4,0.436,906.3,0.619,0.0283,0.150154,27470.0,8.322256,0.6103,0.11312,0.374732,29.0856,0.150154,95.5270847381434,AMC-III,dry,0.0758,1
1.563,36.54,28.36,45.58,2.709,925.32,6.611,0.2287,0.0733,47064.0,6.288602,0.0,0.0,0.293001,7.7652,0.0733,83.44822581815542,AMC-I,dry,0.0015,1
20.817,93.327,31.23,83.35,7.697,938.19,3.579,0.1461,0.176698,22774.0,6.301317,4.9379,0.23721,0.356373,16.6219,0.176698,89.49303405572755,AMC-III,light,0.1683,1
42.103,232.198,25.28,97.02,22.824,944.35,1.047,0.3886,0.38353,55000.0,8.598615,39.01,0.92653,0.558646,45.7387,0.38353,98.94175341994321,AMC-III,moderate,3.505,2
1.755,18.743,20.2,69.84,12.988,896.34,5.029,0.3402,0.038295,46718.0,6.616474,0.0,0.0,0.31928,4.7489,0.038295,83.44822581815542,AMC-I,dry,0.0022,1
36.148,166.794,29.4,95.34,19.133,923.24,2.819,0.2691,0.29354,38286.0,7.055177,28.2393,0.781208,0.49268,15.8979,0.29354,97.02743230131428,AMC-III,moderate,1.1825,2
23.837,99.925,25.55,65.48,0.264,898.55,5.768,0.5834,0.187937,49007.0,6.511853,20.8607,0.87514,0.475355,4.5451,0.187937,98.94175341994321,AMC-III,light,0.4626,2
10.593,77.255,35.5,41.84,1.824,913.42,11.359,0.1383,0.148664,29654.0,5.191856,3.3555,0.316777,0.297614,3.6594,0.148664,95.5270847381434,AMC-III,light,0.0393,1
15.331,122.542,29.79,69.2,1.769,893.76,0.684,0.3803,0.225312,35330.0,8.529648,8.8023,0.574142,0.503724,18.2602,0.225312,97.02743230131428,AMC-III,light,1.0336,2
48.64,170.348,32.33,93.16,0.402,887.32,5.021,0.3,0.29875,30146.0,5.988274,36.8008,0.75659,0.491521,3.1277,0.29875,95.5270847381434,AMC-III,moderate,0.9265,2
14.549,81.314,33.84,72.07,3.241,906.2,4.033,0.0591,0.155833,27502.0,6.312122,6.1549,0.423062,0.369037,7.9493,0.155833,95.5270847381434,AMC-III,light,0.1887,1
42.268,275.116,24.86,69.4,38.771,934.98,0.282,0.2791,0.436258,35502.0,9.394946,34.1792,0.808622,0.563799,63.1137,0.436258,97.02743230131428,AMC-III,moderate,6.0774,2
4.736,22.764,28.9,89.04,22.734,879.27,0.24,0.4104,0.046318,37839.0,9.211078,0.0,0.0,0.471663,9.1238,0.046318,76.27500606733003,AMC-I,dry,0.0445,2
31.758,203.781,33.36,77.31,6.097,910.99,0.261,0.5568,0.345932,19656.0,8.77503,11.9627,0.376688,0.52544,40.093,0.345932,89.49303405572755,AMC-III,light,2.1837,2
29.007,163.983,29.08,44.58,4.709,946.95,4.411,0.351,0.28939,42501.0,6.65335,21.3876,0.737329,0.454128,15.6079,0.28939,97.02743230131428,AMC-III,light,0.6053,2
54.704,329.521,32.01,80.49,38.2,936.75,2.722,0.3738,0.496666,27411.0,6.747826,42.6353,0.779374,0.543501,20.5203,0.496666,95.5270847381434,AMC-III,moderate,1.8391,2
2.868,30.672,21.32,99.82,11.337,898.9,5.343,0.5686,0.0619,47461.0,6.562995,0.0,0.0,0.336762,4.9333,0.0619,83.44822581815542,AMC-I,dry,0.0034,1
18.094,141.988,25.61,62.78,3.268,934.03,0.1,0.1012,0.25607,28059.0,9.820758,8.9455,0.494392,0.452234,64.0269,0.25607,95.5270847381434,AMC-III,light,2.0724,2
6.556,28.958,40.24,61.6,57.624,929.99,1.304,0.1619,0.058545,21946.0,7.354834,0.0,0.0,0.325577,32.1292,0.058545,55.511379832865735,AMC-I,dry,0.0253,1
13.707,85.606,37.7,62.2,5.765,927.43,0.31,0.2663,0.163347,41179.0,9.550817,7.4073,0.540389,0.472691,55.1463,0.163347,97.02743230131428,AMC-III,light,1.2709,2
2.796,32.326,32.25,80.15,5.772,875.74,0.1,0.4311,0.065128,43800.0,10.013124,0.0,0.0,0.492221,5.7438,0.065128,76.27500606733003,AMC-I,dry,0.0324,2
2.641,37.087,23.6,72.89,11.353,916.39,3.914,0.3075,0.074355,51616.0,7.007915,0.0,0.0,0.336158,10.4602,0.074355,83.44822581815542,AMC-I,dry,0.0042,1
55.201,273.089,25.86,55.31,3.065,960.0,0.1,0.2518,0.433872,20332.0,9.090859,30.6646,0.555506,0.486456,89.9959,0.433872,89.49303405572755,AMC-III,moderate,7.104,2
7.339,65.031,31.79,84.43,5.913,933.46,4.178,0.4174,0.126705,12162.0,5.816006,0.0,0.0,0.311035,13.5078,0.126705,74.0,AMC-II,dry,0.0109,1
9.937,80.089,31.47,69.01,5.402,901.57,2.175,0.0879,0.153675,30207.0,7.088305,2.937,0.295563,0.384851,11.6345,0.153675,95.5270847381434,AMC-III,light,0.1526,1
8.044,61.265,28.62,75.55,3.17,870.0,3.805,0.0161,0.119826,36902.0,5.992549,0.0349,0.004339,0.33537,0.0,0.119826,88.0,AMC-II,light,0.013,1
16.911,156.492,33.97,74.1,16.79,953.97,0.192,0.0231,0.278213,28815.0,9.219898,7.9918,0.472583,0.392587,83.5033,0.278213,95.5270847381434,AMC-III,light,1.6047,1
5.973,52.868,28.68,68.11,15.505,953.39,2.071,0.3679,0.104292,35052.0,7.12243,0.0,0.0,0.328038,31.9348,0.104292,88.0,AMC-II,dry,0.0161,1
29.355,128.964,25.78,86.1,3.772,932.4,0.559,0.3878,0.235609,48083.0,9.24591,26.3291,0.896919,0.518958,51.9751,0.235609,98.94175341994321,AMC-III,light,3.4559,2
5.34,43.877,38.4,76.21,1.461,901.27,4.557,0.2807,0.087357,16745.0,5.859884,0.0,0.0,0.304329,6.1609,0.087357,55.511379832865735,AMC-I,dry,0.0073,1
